residence,origin
Cyprus,Uzbekistan
Cyprus,Viet Nam
Cyprus,Yemen
Czech Republic,Afghanistan
Czech Republic,Albania
Czech Republic,Algeria
Czech Republic,Angola
Czech Republic,Armenia
Czech Republic,Azerbaijan
Czech Republic,Bangladesh
Czech Republic,Belarus
Czech Republic,Bosnia and Herzegovina
Czech Republic,Bulgaria
Czech Republic,Burundi
Czech Republic,Cambodia
Czech Republic,Cameroon
Czech Republic,Chad
Czech Republic,China
Czech Republic,Congo
Czech Republic,Côte d'Ivoire
Czech Republic,Croatia
Czech Republic,Cuba
Czech Republic,Democratic Republic of the Congo
Czech Republic,Djibouti
Czech Republic,Ecuador
Czech Republic,Egypt
Czech Republic,Eritrea
Czech Republic,Ethiopia
Czech Republic,Gambia
Czech Republic,Georgia
Czech Republic,Ghana
Czech Republic,Guinea
Czech Republic,India
Czech Republic,Iran (Islamic Republic of)
Czech Republic,Iraq
Czech Republic,Israel
Czech Republic,Jordan
Czech Republic,Kazakhstan
Czech Republic,Kyrgyzstan
Czech Republic,Liberia
Czech Republic,Libya
Czech Republic,Mongolia
Czech Republic,Morocco
Czech Republic,Myanmar
Czech Republic,Nigeria
Czech Republic,Pakistan
Czech Republic,Palestinian
Czech Republic,Republic of Moldova
Czech Republic,Romania
Czech Republic,Russian Federation
Czech Republic,Rwanda
Czech Republic,Saudi Arabia
Czech Republic,Senegal
Czech Republic,Serbia (and Kosovo: S/RES/1244 (1999))
Czech Republic,Sierra Leone
Czech Republic,Somalia
Czech Republic,South Africa
Czech Republic,Sri Lanka
Czech Republic,Stateless
Czech Republic,Sudan
Czech Republic,Syrian Arab Republic
Czech Republic,Tajikistan
Czech Republic,The former Yugoslav Republic of Macedonia
Czech Republic,Togo
Czech Republic,Tunisia
Czech Republic,Turkey
Czech Republic,Turkmenistan
Czech Republic,Uganda
Czech Republic,Ukraine
Czech Republic,Uzbekistan
Czech Republic,Viet Nam
Czech Republic,Various
Democratic Republic of the Congo,Burundi
Democratic Republic of the Congo,Cameroon
Democratic Republic of the Congo,Central African Republic
Democratic Republic of the Congo,Chad
Democratic Republic of the Congo,Congo
Democratic Republic of the Congo,Côte d'Ivoire
Democratic Republic of the Congo,Eritrea
Democratic Republic of the Congo,Ethiopia
Democratic Republic of the Congo,Guinea
Democratic Republic of the Congo,Liberia
Democratic Republic of the Congo,Rwanda
Democratic Republic of the Congo,Sierra Leone
Democratic Republic of the Congo,Somalia
Democratic Republic of the Congo,Sudan
Democratic Republic of the Congo,Uganda
Denmark,Afghanistan
Denmark,Albania
Denmark,Algeria
Denmark,Angola
Denmark,Armenia
Denmark,Azerbaijan
Denmark,Bangladesh
Denmark,Belarus
Denmark,Benin
Denmark,Bhutan
Denmark,Bosnia and Herzegovina
Denmark,Burkina Faso
Denmark,Burundi
Denmark,Cambodia
Denmark,Cameroon
Denmark,Chad
Denmark,China
Denmark,Congo
Denmark,Côte d'Ivoire
Denmark,Democratic People's Republic of Korea
Denmark,Democratic Republic of the Congo
Denmark,Egypt
Denmark,Eritrea
Denmark,Ethiopia
Denmark,Georgia
Denmark,Ghana
Denmark,Guatemala
Denmark,Guinea
Denmark,India
Denmark,Indonesia
Denmark,Iran (Islamic Republic of)
Denmark,Iraq
Denmark,Jordan
Denmark,Kazakhstan
Denmark,Kenya
Denmark,Kyrgyzstan
Denmark,Lebanon
Denmark,Libya
Denmark,Mongolia
Denmark,Morocco
Denmark,Myanmar
Denmark,Nepal
Denmark,Nigeria
Denmark,Pakistan
Denmark,Palestinian
Denmark,Peru
Denmark,Philippines
Denmark,Republic of Korea
Denmark,Romania
Denmark,Russian Federation
Denmark,Rwanda
Denmark,Saudi Arabia
Denmark,Serbia (and Kosovo: S/RES/1244 (1999))
Denmark,Sierra Leone
Denmark,Somalia
Denmark,Sri Lanka
Denmark,Stateless
Denmark,Sudan
Denmark,Syrian Arab Republic
Denmark,Tajikistan
Denmark,The former Yugoslav Republic of Macedonia
Denmark,Tunisia
Denmark,Turkey
Denmark,Uganda
Denmark,Ukraine
Denmark,United Republic of Tanzania
Denmark,Uzbekistan
Denmark,Viet Nam
Denmark,Yemen
Denmark,Zambia
Denmark,Zimbabwe
Denmark,Various
Djibouti,Bangladesh
Djibouti,Eritrea
Djibouti,Ethiopia
Djibouti,Iraq
Djibouti,Kenya
Djibouti,Philippines
Djibouti,Somalia
Djibouti,Sudan
Djibouti,Yemen
Dominican Republic,Haiti
Dominican Republic,Iraq
Dominican Republic,Syrian Arab Republic
Ecuador,Afghanistan
Ecuador,Albania
Ecuador,Angola
Ecuador,Argentina
Ecuador,Armenia
Ecuador,Azerbaijan
Ecuador,Bangladesh
Ecuador,Belarus
Ecuador,Bosnia and Herzegovina
Ecuador,Brazil
Ecuador,Burundi
Ecuador,Cameroon
Ecuador,Chile
Ecuador,China
Ecuador,Colombia
Ecuador,Congo
Ecuador,Côte d'Ivoire
Ecuador,Cuba
Ecuador,Dominican Republic
Ecuador,Egypt
Ecuador,El Salvador
Ecuador,Eritrea
Ecuador,Ethiopia
Ecuador,Germany
Ecuador,Ghana
Ecuador,Guinea
Ecuador,Guinea-Bissau
Ecuador,Haiti
Ecuador,India
Ecuador,Iran (Islamic Republic of)
Ecuador,Iraq
Ecuador,Kuwait
Ecuador,Kyrgyzstan
Ecuador,Lebanon
Ecuador,Liberia
Ecuador,Lithuania
Ecuador,Mali
Ecuador,Morocco
Ecuador,Nepal
Ecuador,Nicaragua
Ecuador,Niger
Ecuador,Nigeria
Ecuador,Pakistan
Ecuador,Palestinian
Ecuador,Panama
Ecuador,Paraguay
Ecuador,Peru
Ecuador,Poland
Ecuador,Russian Federation
Ecuador,Saudi Arabia
Ecuador,Serbia (and Kosovo: S/RES/1244 (1999))
Ecuador,Sierra Leone
Ecuador,Somalia
Ecuador,Spain
Ecuador,Sri Lanka
Ecuador,Stateless
Ecuador,Sudan
Ecuador,Swaziland
Ecuador,Syrian Arab Republic
Ecuador,Togo
Ecuador,Turkey
Ecuador,Turkmenistan
Ecuador,Uganda
Ecuador,Ukraine
Ecuador,United States of America
Ecuador,Uruguay
Ecuador,Uzbekistan
Ecuador,Venezuela (Bolivarian Republic of)
Ecuador,Viet Nam
Ecuador,Western Sahara
Ecuador,Zimbabwe
Ecuador,Various
Egypt,Afghanistan
Egypt,Algeria
Egypt,Angola
Egypt,Burundi
Egypt,Cameroon
Egypt,Central African Republic
Egypt,Chad
Egypt,China
Egypt,Congo
Egypt,Côte d'Ivoire
Egypt,Democratic Republic of the Congo
Egypt,Djibouti
Egypt,Eritrea
Egypt,Ethiopia
Egypt,Guinea
Egypt,Iran (Islamic Republic of)
Egypt,Iraq
Egypt,Jordan
Egypt,Kenya
Egypt,Liberia
Egypt,Libya
Egypt,Mali
Egypt,Morocco
Egypt,Myanmar
Egypt,Nigeria
Egypt,Pakistan
Egypt,Palestinian
Egypt,Russian Federation
Egypt,Rwanda
Egypt,Saudi Arabia
Egypt,Serbia (and Kosovo: S/RES/1244 (1999))
Egypt,Somalia
Egypt,South Sudan
Egypt,Sri Lanka
Egypt,Sudan
Egypt,Syrian Arab Republic
Egypt,Tajikistan
Egypt,Tunisia
Egypt,Turkmenistan
Egypt,Uganda
Egypt,Uzbekistan
Egypt,Yemen
Egypt,Zimbabwe
El Salvador,Algeria
El Salvador,China
El Salvador,Colombia
El Salvador,Honduras
El Salvador,Iran (Islamic Republic of)
El Salvador,Nicaragua
Eritrea,Ethiopia
Eritrea,Somalia
Eritrea,South Sudan
Eritrea,Sudan
Estonia,Afghanistan
Estonia,Algeria
Estonia,Armenia
Estonia,Bangladesh
Estonia,Belarus
Estonia,Côte d'Ivoire
Estonia,Georgia
Estonia,Iraq
Estonia,Pakistan
Estonia,Palestinian
Estonia,Russian Federation
Estonia,Somalia
Estonia,Sri Lanka
Estonia,Stateless
Estonia,Sudan
Estonia,Tajikistan
Estonia,Turkey
Estonia,Turkmenistan
Estonia,Uganda
Ethiopia,Afghanistan
Ethiopia,Burundi
Ethiopia,Chad
Ethiopia,Côte d'Ivoire
Ethiopia,Democratic Republic of the Congo
Ethiopia,Djibouti
Ethiopia,Eritrea
Ethiopia,Kenya
Ethiopia,Nigeria
Ethiopia,Rwanda
Ethiopia,Somalia
Ethiopia,South Sudan
Ethiopia,Sudan
Ethiopia,Uganda
Ethiopia,United Republic of Tanzania
Ethiopia,Yemen
Ethiopia,Zimbabwe
Fiji,Afghanistan
Fiji,Democratic Republic of the Congo
Fiji,Eritrea
Fiji,Nigeria
Fiji,Pakistan
Fiji,Somalia
Finland,Afghanistan
Finland,Albania
Finland,Algeria
Finland,Angola
Finland,Armenia
Finland,Azerbaijan
Finland,Bangladesh
Finland,Belarus
Finland,Bolivia (Plurinational State of)
Finland,Bosnia and Herzegovina
Finland,Brazil
Finland,Burundi
Finland,Cambodia
Finland,Cameroon
Finland,Chad
Finland,China
Finland,Colombia
Finland,Congo
Finland,Côte d'Ivoire
Finland,Croatia
Finland,Cuba
Finland,Democratic Republic of the Congo
Finland,Djibouti
Finland,Ecuador
Finland,Egypt
Finland,Eritrea
Finland,Ethiopia
Finland,Gambia
Finland,Georgia
Finland,Ghana
Finland,Guatemala
Finland,Guinea
Finland,Guinea-Bissau
Finland,Honduras
Finland,India
Finland,Iran (Islamic Republic of)
Finland,Iraq
Finland,Israel
Finland,Jordan
Finland,Kazakhstan
Finland,Kenya
Finland,Kyrgyzstan
Finland,Latvia
Finland,Lebanon
Finland,Liberia
Finland,Libya
Finland,Malawi
Finland,Mauritania
Finland,Mongolia
Finland,Morocco
Finland,Mozambique
Finland,Myanmar
Finland,Nepal
Finland,Niger
Finland,Nigeria
Finland,Pakistan
Finland,Peru
Finland,Republic of Moldova
Finland,Romania
Finland,Russian Federation
Finland,Rwanda
Finland,Senegal
Finland,Serbia (and Kosovo: S/RES/1244 (1999))
Finland,Sierra Leone
Finland,Slovakia
Finland,Somalia
Finland,Sri Lanka
Finland,Stateless
Finland,Sudan
Finland,Syrian Arab Republic
Finland,Tajikistan
Finland,The former Yugoslav Republic of Macedonia
Finland,Togo
Finland,Turkey
Finland,Turkmenistan
Finland,Uganda
Finland,Ukraine
Finland,United Republic of Tanzania
Finland,Uzbekistan
Finland,Venezuela (Bolivarian Republic of)
Finland,Viet Nam
Finland,Yemen
Finland,Zimbabwe
Finland,Various
France,Afghanistan
France,Albania
France,Algeria
France,Angola
France,Argentina
France,Armenia
France,Azerbaijan
France,Bangladesh
France,Belarus
France,Benin
France,Bhutan
France,Bolivia (Plurinational State of)
France,Bosnia and Herzegovina
France,Brazil
France,Bulgaria
France,Burkina Faso
France,Burundi
France,Cambodia
France,Cameroon
France,Central African Republic
France,Chad
France,Chile
France,China
France,Colombia
France,Comoros
France,Congo
France,Côte d'Ivoire
France,Croatia
France,Cuba
France,Czech Republic
France,Democratic Republic of the Congo
France,Djibouti
France,Dominican Republic
France,Ecuador
France,Egypt
France,El Salvador
France,Equatorial Guinea
France,Eritrea
France,Estonia
France,Ethiopia
France,Gabon
France,Gambia
France,Georgia
France,Germany
France,Ghana
France,Guatemala
France,Guinea
France,Guinea-Bissau
France,Guyana
France,Haiti
France,Hungary
France,India
France,Indonesia
France,Iran (Islamic Republic of)
France,Iraq
France,Jamaica
France,Jordan
France,Kazakhstan
France,Kenya
France,Kuwait
France,Kyrgyzstan
France,Lao People's Democratic Republic
France,Latvia
France,Lebanon
France,Liberia
France,Libya
France,Lithuania
France,Madagascar
France,Malaysia
France,Mali
France,Mauritania
France,Mauritius
France,Mexico
France,Mongolia
France,Montenegro
France,Morocco
France,Mozambique
France,Myanmar
France,Nepal
France,Niger
France,Nigeria
France,Pakistan
France,Palestinian
France,Paraguay
France,Peru
France,Poland
France,Republic of Moldova
France,Romania
France,Russian Federation
France,Rwanda
France,Senegal
France,Serbia (and Kosovo: S/RES/1244 (1999))
France,Sierra Leone
France,Slovakia
France,Somalia
France,South Africa
France,Sri Lanka
France,Sudan
France,Syrian Arab Republic
France,Tajikistan
France,The former Yugoslav Republic of Macedonia
France,Togo
France,Tunisia
France,Turkey
France,Turkmenistan
France,Uganda
France,Ukraine
France,Uzbekistan
France,Venezuela (Bolivarian Republic of)
France,Viet Nam
France,Western Sahara
France,Yemen
France,Zimbabwe
France,Various
Gabon,Angola
Gabon,Burundi
Gabon,Cameroon
Gabon,Cape Verde
Gabon,Central African Republic
Gabon,Chad
Gabon,Congo
Gabon,Côte d'Ivoire
Gabon,Democratic Republic of the Congo
Gabon,Equatorial Guinea
Gabon,Ethiopia
Gabon,Ghana
Gabon,Liberia
Gabon,Mauritania
Gabon,Niger
Gabon,Rwanda
Gabon,Sao Tome and Principe
Gabon,Sierra Leone
Gabon,Somalia
Gabon,Sudan
Gabon,Togo
Gabon,United Republic of Tanzania
Gabon,Viet Nam
Gambia,Cameroon
Gambia,Côte d'Ivoire
Gambia,Democratic Republic of the Congo
Gambia,Eritrea
Gambia,Guinea-Bissau
Gambia,Iraq
Gambia,Liberia
Gambia,Rwanda
Gambia,Senegal
Gambia,Sierra Leone
Gambia,Somalia
Gambia,Sudan
Gambia,Togo
Georgia,Afghanistan
Georgia,Azerbaijan
Georgia,Côte d'Ivoire
Georgia,Cuba
Georgia,Iran (Islamic Republic of)
Georgia,Iraq
Georgia,Russian Federation
Georgia,Sri Lanka
Georgia,Syrian Arab Republic
Georgia,Tajikistan
Georgia,Turkey
Germany,Afghanistan
Germany,Albania
Germany,Algeria
Germany,Angola
Germany,Antigua and Barbuda
Germany,Argentina
Germany,Armenia
Germany,Australia
Germany,Austria
Germany,Azerbaijan
Germany,Bahrain
Germany,Bangladesh
Germany,Barbados
Germany,Belarus
Germany,Belgium
Germany,Belize
Germany,Benin
Germany,Bhutan
Germany,Bolivia (Plurinational State of)
Germany,Bosnia and Herzegovina
Germany,Botswana
Germany,Brazil
Germany,Bulgaria
Germany,Burkina Faso
Germany,Burundi
Germany,Cambodia
Germany,Cameroon
Germany,Canada
Germany,Cape Verde
Germany,Central African Republic
Germany,Chad
Germany,Chile
Germany,China
Germany,Colombia
Germany,Comoros
Germany,Congo
Germany,Costa Rica
Germany,Côte d'Ivoire
Germany,Croatia
Germany,Cuba
Germany,Cyprus
Germany,Czech Republic
Germany,Democratic People's Republic of Korea
Germany,Democratic Republic of the Congo
Germany,Djibouti
Germany,Dominican Republic
Germany,Ecuador
Germany,Egypt
Germany,El Salvador
Germany,Equatorial Guinea
Germany,Eritrea
Germany,Estonia
Germany,Ethiopia
Germany,France
Germany,Gabon
Germany,Gambia
Germany,Georgia
Germany,Ghana
Germany,Greece
Germany,Guatemala
Germany,Guinea
Germany,Guinea-Bissau
Germany,Guyana
Germany,Haiti
Germany,Honduras
Germany,Hungary
Germany,Iceland
Germany,India
Germany,Indonesia
Germany,Iran (Islamic Republic of)
Germany,Iraq
Germany,Israel
Germany,Italy
Germany,Jamaica
Germany,Japan
Germany,Jordan
Germany,Kazakhstan
Germany,Kenya
Germany,Kuwait
Germany,Kyrgyzstan
Germany,Lao People's Democratic Republic
Germany,Latvia
Germany,Lebanon
Germany,Lesotho
Germany,Liberia
Germany,Libya
Germany,Lithuania
Germany,Madagascar
Germany,Malawi
Germany,Malaysia
Germany,Maldives
Germany,Mali
Germany,Mauritania
Germany,Mauritius
Germany,Mexico
Germany,Monaco
Germany,Mongolia
Germany,Montenegro
Germany,Morocco
Germany,Mozambique
Germany,Myanmar
Germany,Namibia
Germany,Nepal
Germany,Netherlands
Germany,New Zealand
Germany,Nicaragua
Germany,Niger
Germany,Nigeria
Germany,Norway
Germany,Oman
Germany,Pakistan
Germany,Panama
Germany,Paraguay
Germany,Peru
Germany,Philippines
Germany,Poland
Germany,Portugal
Germany,Qatar
Germany,Republic of Korea
Germany,Republic of Moldova
Germany,Romania
Germany,Russian Federation
Germany,Rwanda
Germany,Saint Vincent and the Grenadines
Germany,Saudi Arabia
Germany,Senegal
Germany,Serbia (and Kosovo: S/RES/1244 (1999))
Germany,Seychelles
Germany,Sierra Leone
Germany,Singapore
Germany,Slovakia
Germany,Slovenia
Germany,Somalia
Germany,South Africa
Germany,South Sudan
Germany,Spain
Germany,Sri Lanka
Germany,Stateless
Germany,Sudan
Germany,Suriname
Germany,Sweden
Germany,Switzerland
Germany,Syrian Arab Republic
Germany,Tajikistan
Germany,Thailand
Germany,The former Yugoslav Republic of Macedonia
Germany,Togo
Germany,Trinidad and Tobago
Germany,Tunisia
Germany,Turkey
Germany,Turkmenistan
Germany,Uganda
Germany,Ukraine
Germany,United Arab Emirates
Germany,United Kingdom of Great Britain and Northern Ireland
Germany,United Republic of Tanzania
Germany,United States of America
Germany,Uruguay
Germany,Uzbekistan
Germany,Venezuela (Bolivarian Republic of)
Germany,Viet Nam
Germany,Yemen
Germany,Zambia
Germany,Zimbabwe
Germany,Various
Ghana,Burkina Faso
Ghana,Burundi
Ghana,Cameroon
Ghana,Chad
Ghana,Congo
Ghana,Côte d'Ivoire
Ghana,Democratic Republic of the Congo
Ghana,Eritrea
Ghana,Ethiopia
Ghana,Liberia
Ghana,Nigeria
Ghana,Rwanda
Ghana,Sierra Leone
Ghana,Somalia
Ghana,Sudan
Ghana,Togo
Ghana,Uganda
Greece,Afghanistan
Greece,Albania
Greece,Algeria
Greece,Armenia
Greece,Azerbaijan
Greece,Bangladesh
Greece,Burkina Faso
Greece,Burundi
Greece,Cameroon
Greece,Canada
Greece,Central African Republic
Greece,Chile
Greece,China
Greece,Congo
Greece,Côte d'Ivoire
Greece,Democratic Republic of the Congo
Greece,Egypt
Greece,Eritrea
Greece,Ethiopia
Greece,Georgia
Greece,Ghana
Greece,Guinea
Greece,Guinea-Bissau
Greece,India
Greece,Indonesia
Greece,Iran (Islamic Republic of)
Greece,Iraq
Greece,Israel
Greece,Jordan
Greece,Kyrgyzstan
Greece,Lebanon
Greece,Libya
Greece,Madagascar
Greece,Mali
Greece,Mauritania
Greece,Morocco
Greece,Myanmar
Greece,Nigeria
Greece,Pakistan
Greece,Palestinian
Greece,Philippines
Greece,Russian Federation
Greece,Rwanda
Greece,Senegal
Greece,Serbia (and Kosovo: S/RES/1244 (1999))
Greece,Sierra Leone
Greece,Somalia
Greece,Sri Lanka
Greece,Sudan
Greece,Swaziland
Greece,Syrian Arab Republic
Greece,Tunisia
Greece,Turkey
Greece,Uganda
Greece,Ukraine
Greece,Uzbekistan
Greece,Viet Nam
Greece,Zimbabwe
Greece,Various
Guatemala,Bolivia (Plurinational State of)
Guatemala,Cambodia
Guatemala,China
Guatemala,Colombia
Guatemala,Cuba
Guatemala,El Salvador
Guatemala,Honduras
Guatemala,Jamaica
Guatemala,Nicaragua
Guinea,Angola
Guinea,Burundi
Guinea,Central African Republic
Guinea,Chad
Guinea,Congo
Guinea,Côte d'Ivoire
Guinea,Democratic Republic of the Congo
Guinea,Gambia
Guinea,Liberia
Guinea,Mali
Guinea,Nigeria
Guinea,Palestinian
Guinea,Rwanda
Guinea,Sierra Leone
Guinea,Somalia
Guinea,Togo
Guinea,Uganda
Guinea-Bissau,Burundi
Guinea-Bissau,Congo
Guinea-Bissau,Côte d'Ivoire
Guinea-Bissau,Democratic Republic of the Congo
Guinea-Bissau,Gambia
Guinea-Bissau,Guinea
Guinea-Bissau,Liberia
Guinea-Bissau,Senegal
Guinea-Bissau,Sierra Leone
Guinea-Bissau,Togo
Guyana,Democratic Republic of the Congo
Honduras,Colombia
Honduras,Cuba
Honduras,Haiti
Honduras,Iran (Islamic Republic of)
Honduras,Venezuela (Bolivarian Republic of)
"Hong Kong SAR, China",Afghanistan
"Hong Kong SAR, China",Burundi
"Hong Kong SAR, China",Congo
"Hong Kong SAR, China",Côte d'Ivoire
"Hong Kong SAR, China",Democratic Republic of the Congo
"Hong Kong SAR, China",Egypt
"Hong Kong SAR, China",Eritrea
"Hong Kong SAR, China",Iran (Islamic Republic of)
"Hong Kong SAR, China",Liberia
"Hong Kong SAR, China",Myanmar
"Hong Kong SAR, China",Nepal
"Hong Kong SAR, China",Pakistan
"Hong Kong SAR, China",Palestinian
"Hong Kong SAR, China",Philippines
"Hong Kong SAR, China",Russian Federation
"Hong Kong SAR, China",Somalia
"Hong Kong SAR, China",Sri Lanka
"Hong Kong SAR, China",Turkmenistan
"Hong Kong SAR, China",Uganda
"Hong Kong SAR, China",United Kingdom of Great Britain and Northern Ireland
"Hong Kong SAR, China",Viet Nam
"Hong Kong SAR, China",Yemen
Hungary,Afghanistan
Hungary,Albania
Hungary,Algeria
Hungary,Angola
Hungary,Armenia
Hungary,Azerbaijan
Hungary,Belarus
Hungary,Bosnia and Herzegovina
Hungary,Burundi
Hungary,Cameroon
Hungary,China
Hungary,Colombia
Hungary,Comoros
Hungary,Congo
Hungary,Côte d'Ivoire
Hungary,Cuba
Hungary,Democratic Republic of the Congo
Hungary,Ecuador
Hungary,Egypt
Hungary,Eritrea
Hungary,Ethiopia
Hungary,Georgia
Hungary,Ghana
Hungary,Guinea
Hungary,Guinea-Bissau
Hungary,India
Hungary,Iran (Islamic Republic of)
Hungary,Iraq
Hungary,Jordan
Hungary,Kazakhstan
Hungary,Kenya
Hungary,Kuwait
Hungary,Lebanon
Hungary,Liberia
Hungary,Libya
Hungary,Mauritania
Hungary,Morocco
Hungary,Myanmar
Hungary,Nepal
Hungary,Nigeria
Hungary,Pakistan
Hungary,Palestinian
Hungary,Republic of Moldova
Hungary,Romania
Hungary,Russian Federation
Hungary,Saudi Arabia
Hungary,Senegal
Hungary,Serbia (and Kosovo: S/RES/1244 (1999))
Hungary,Sierra Leone
Hungary,Singapore
Hungary,Somalia
Hungary,Sri Lanka
Hungary,Stateless
Hungary,Sudan
Hungary,Swaziland
Hungary,Syrian Arab Republic
Hungary,The former Yugoslav Republic of Macedonia
Hungary,Togo
Hungary,Tunisia
Hungary,Turkey
Hungary,Uganda
Hungary,Ukraine
Hungary,United Republic of Tanzania
Hungary,United States of America
Hungary,Uzbekistan
Hungary,Viet Nam
Hungary,Zimbabwe
Hungary,Various
Iceland,Afghanistan
Iceland,Albania
Iceland,Armenia
Iceland,China
Iceland,Eritrea
Iceland,India
Iceland,Iran (Islamic Republic of)
Iceland,Iraq
Iceland,Kenya
Iceland,Libya
Iceland,Mauritania
Iceland,Russian Federation
Iceland,Senegal
Iceland,Serbia (and Kosovo: S/RES/1244 (1999))
Iceland,Somalia
Iceland,Sri Lanka
Iceland,Syrian Arab Republic
Iceland,Ukraine
Iceland,Uzbekistan
Iceland,Various
India,Afghanistan
India,Angola
India,Bosnia and Herzegovina
India,Cameroon
India,China
India,Côte d'Ivoire
India,Democratic Republic of the Congo
India,Egypt
India,Eritrea
India,Ethiopia
India,Iran (Islamic Republic of)
India,Iraq
India,Lao People's Democratic Republic
India,Myanmar
India,Pakistan
India,Palestinian
India,Rwanda
India,Somalia
India,Sri Lanka
India,Sudan
India,Syrian Arab Republic
India,Togo
India,Uganda
India,Uzbekistan
India,Yemen
Indonesia,Afghanistan
Indonesia,China
Indonesia,Congo
Indonesia,Côte d'Ivoire
Indonesia,Democratic Republic of the Congo
Indonesia,Egypt
Indonesia,Ethiopia
Indonesia,Iran (Islamic Republic of)
Indonesia,Iraq
Indonesia,Kuwait
Indonesia,Myanmar
Indonesia,Pakistan
Indonesia,Palestinian
Indonesia,Philippines
Indonesia,Somalia
Indonesia,Sri Lanka
Indonesia,Sudan
Indonesia,Syrian Arab Republic
Indonesia,Thailand
Indonesia,Ukraine
Indonesia,Yemen
Iran (Islamic Republic of),Afghanistan
Iran (Islamic Republic of),Ethiopia
Iran (Islamic Republic of),Iraq
Iran (Islamic Republic of),Kuwait
Iran (Islamic Republic of),Pakistan
Iran (Islamic Republic of),Tajikistan
Iran (Islamic Republic of),Uzbekistan
Iraq,Afghanistan
Iraq,Egypt
Iraq,Ethiopia
Iraq,Iran (Islamic Republic of)
Iraq,Lebanon
Iraq,Libya
Iraq,Morocco
Iraq,Palestinian
Iraq,Somalia
Iraq,Syrian Arab Republic
Iraq,Turkey
Ireland,Afghanistan
Ireland,Albania
Ireland,Algeria
Ireland,Angola
Ireland,Armenia
Ireland,Azerbaijan
Ireland,Bangladesh
Ireland,Belarus
Ireland,Belgium
Ireland,Benin
Ireland,Bhutan
Ireland,Bosnia and Herzegovina
Ireland,Brazil
Ireland,Bulgaria
Ireland,Burkina Faso
Ireland,Burundi
Ireland,Cambodia
Ireland,Cameroon
Ireland,Central African Republic
Ireland,Chad
Ireland,China
Ireland,Colombia
Ireland,Congo
Ireland,Côte d'Ivoire
Ireland,Croatia
Ireland,Cuba
Ireland,Czech Republic
Ireland,Democratic People's Republic of Korea
Ireland,Democratic Republic of the Congo
Ireland,Egypt
Ireland,Eritrea
Ireland,Estonia
Ireland,Ethiopia
Ireland,Gambia
Ireland,Georgia
Ireland,Ghana
Ireland,Guatemala
Ireland,Guinea
Ireland,Guinea-Bissau
Ireland,Hungary
Ireland,India
Ireland,Indonesia
Ireland,Iran (Islamic Republic of)
Ireland,Iraq
Ireland,Israel
Ireland,Jamaica
Ireland,Jordan
Ireland,Kazakhstan
Ireland,Kenya
Ireland,Kuwait
Ireland,Kyrgyzstan
Ireland,Latvia
Ireland,Lebanon
Ireland,Lesotho
Ireland,Liberia
Ireland,Libya
Ireland,Lithuania
Ireland,Malawi
Ireland,Malaysia
Ireland,Mauritania
Ireland,Mauritius
Ireland,Mongolia
Ireland,Morocco
Ireland,Mozambique
Ireland,Myanmar
Ireland,Nepal
Ireland,Nicaragua
Ireland,Niger
Ireland,Nigeria
Ireland,Pakistan
Ireland,Palestinian
Ireland,Peru
Ireland,Philippines
Ireland,Poland
Ireland,Republic of Moldova
Ireland,Romania
Ireland,Russian Federation
Ireland,Rwanda
Ireland,Serbia (and Kosovo: S/RES/1244 (1999))
Ireland,Sierra Leone
Ireland,Slovakia
Ireland,Somalia
Ireland,South Africa
Ireland,Sri Lanka
Ireland,Stateless
Ireland,Sudan
Ireland,Swaziland
Ireland,Syrian Arab Republic
Ireland,The former Yugoslav Republic of Macedonia
Ireland,Togo
Ireland,Tunisia
Ireland,Turkey
Ireland,Turkmenistan
Ireland,Uganda
Ireland,Ukraine
Ireland,United Kingdom of Great Britain and Northern Ireland
Ireland,Uzbekistan
Ireland,Venezuela (Bolivarian Republic of)
Ireland,Viet Nam
Ireland,Yemen
Ireland,Zambia
Ireland,Zimbabwe
Israel,Armenia
Israel,Burundi
Israel,Chad
Israel,Colombia
Israel,Côte d'Ivoire
Israel,Democratic People's Republic of Korea
Israel,Democratic Republic of the Congo
Israel,Eritrea
Israel,Ethiopia
Israel,Iran (Islamic Republic of)
Israel,Lebanon
Israel,Liberia
Israel,Libya
Israel,Mauritania
Israel,Myanmar
Israel,Nepal
Israel,Sierra Leone
Israel,Somalia
Israel,South Sudan
Israel,Sudan
Israel,Turkey
Israel,Zimbabwe
Italy,Afghanistan
Italy,Albania
Italy,Algeria
Italy,Angola
Italy,Armenia
Italy,Azerbaijan
Italy,Bahrain
Italy,Bangladesh
Italy,Belarus
Italy,Benin
Italy,Bhutan
Italy,Bolivia (Plurinational State of)
Italy,Bosnia and Herzegovina
Italy,Brazil
Italy,Burkina Faso
Italy,Burundi
Italy,Cambodia
Italy,Cameroon
Italy,Canada
Italy,Cape Verde
Italy,Central African Republic
Italy,Chad
Italy,Chile
Italy,China
Italy,Colombia
Italy,Congo
Italy,Côte d'Ivoire
Italy,Croatia
Italy,Cuba
Italy,Democratic Republic of the Congo
Italy,Djibouti
Italy,Ecuador
Italy,Egypt
Italy,El Salvador
Italy,Equatorial Guinea
Italy,Eritrea
Italy,Ethiopia
Italy,Gabon
Italy,Gambia
Italy,Georgia
Italy,Ghana
Italy,Guatemala
Italy,Guinea
Italy,Guinea-Bissau
Italy,Haiti
Italy,Honduras
Italy,India
